8375,8739,5469,8881,5469,5472,8315,7837,9445,5469,8374,9583,8328,11300,8569,8346,5469,5469,8460,5469,5469,8367,5469,10813,8328,10065,7525,7592,5469,8220,9540,5469,8121,5469,5469,5778,11555,11188,11047,10010,9737,9483,11388,12816,13295,14321,9523,15124,15452,11483,9720,15868,9642,11900,9155,14606,14357,17405,7442,16822,317,965,833,2688,9008,9280,20332,10531,5015,5370,5969,8214,12634,7170,8212,5555,4344,5637,5947,3580,4214,8603,7976,9099,5242,10990,16997,11432,13442,13764,12118,13599,16496,14205,14715,5700,16459,16315,16459,15519,16346,7190,13727,14342,11337,12386,12062,12076,15797,20153,14000,14115,16376,23206,22069,16654,15960,15668,20603,27498,11334,12351,18582,15337,15694,13412,17782,10785,2300,8268,8440,3603,9434,3603,10160,8463,15124,10141,15452
9571,9935,6676,9956,6676,6677,8562,9042,10641,6676,9570,10773,9524,12375,9765,9536,6676,6676,9650,6676,6676,9562,6676,12004,9524,11168,8721,7844,6676,9411,10751,6676,9312,6676,6676,6842,12486,12119,11978,10830,10545,10291,11318,12746,13225,14250,9453,14775,15382,11413,9837,15518,9572,11830,9085,14325,14287,16305,6667,17793,1338,1098,1068,2922,9956,10251,21540,11502,6206,6452,7033,8801,13605,6621,7004,5367,3136,5091,4739,2796,4236,7395,6768,8550,5054,12016,18204,12639,14468,14789,13143,14625,17670,15413,15741,5043,17531,17138,17531,16544,17371,8560,14749,15537,12413,13610,13044,13288,16822,21360,15207,15322,17347,24232,23276,17862,16985,16694,21810,28705,12541,13558,19608,16544,16719,14616,18855,11990,1092,9333,9248,3208,9990,3208,11442,9656,14775,10596,15382
5980,6376,9996,8401,9996,9996,8913,5691,6076,9996,5602,7639,5608,10216,5889,6699,9996,9996,6428,9996,9996,5800,9996,8228,5608,8758,5899,9031,9996,8174,4493,9996,8486,9996,9996,5959,11510,11143,11002,9854,9569,9315,9754,11182,11661,12687,7889,14119,13818,9849,8858,14863,8008,10266,7521,12972,12723,26647,13249,17760,2139,1895,11662,2333,19831,19809,11191,21027,7615,8976,6750,9771,20368,6406,17990,4218,15178,4873,16240,12642,2660,19437,18811,8335,3650,12339,9616,4216,14791,15113,13467,14948,17845,6963,16065,16525,10771,17704,10771,16868,17695,7583,14603,8601,9939,4459,12940,4338,17146,10815,3550,3666,17348,24556,12737,6739,17309,17017,11262,16886,1800,3005,19932,4888,17043,8465,11479,6146,12854,8356,8272,12525,7938,12525,10463,4927,14119,8701,13818
9727,10091,6820,10232,6820,6820,9670,9185,10797,6820,9726,10935,9680,12652,9921,9698,6820,6820,9812,6820,6820,9718,6820,12165,9680,11417,8877,8944,6820,9572,10892,6820,9473,6820,6820,5774,11550,11184,11042,10006,9733,9478,11681,13110,13588,14614,9816,15884,15746,11776,10049,16627,9935,12193,9448,14899,14651,18799,8919,16204,1095,1743,1628,2690,8380,8662,21684,9913,6367,6722,5964,8973,12016,7938,9466,6406,5142,6405,7243,5057,4502,8688,8214,9867,5578,10343,17720,12784,12796,13117,11471,12953,15849,15557,14069,5230,15421,15709,15421,14872,15699,7181,13708,15694,12689,13737,12003,13428,15150,21505,15351,15467,15758,22560,23420,18006,15313,15021,21955,28849,12685,13703,17936,16689,15047,14760,16745,12133,2867,8264,8436,5116,10626,5116,10151,9634,15884,11333,15746
9634,9998,6748,10159,6748,6862,9711,9226,10704,6748,9633,10842,9587,12578,9828,9605,6748,6748,9719,6748,6748,9625,6748,12091,9587,11344,8784,8851,6748,9499,10799,6748,9380,6748,6748,6665,12442,12075,11934,10897,10624,10370,13293,14691,15170,16195,11428,17032,17327,13388,11652,17775,11547,13805,11060,16481,16232,19649,9470,16059,2794,3102,2677,4132,8912,8172,21505,9422,6274,6701,6856,8409,11531,8861,10445,7988,6190,7339,8179,5608,6105,9729,9263,11002,7159,9629,16526,12605,12081,12403,10757,12238,14998,15378,13355,5769,14227,14467,14227,14158,14985,8062,14435,15601,12615,13558,12770,13432,14436,21326,15173,15288,15647,21845,23242,17827,14599,14307,21776,28671,12507,13524,17222,16510,14333,14801,15550,12175,3915,9155,9327,5676,10744,5676,11032,9742,17032,11451,17327
9288,9652,6462,9813,6462,6462,9312,8827,10358,6462,9287,10496,9241,12233,9482,9259,6462,6462,9373,6462,6462,9280,6462,11746,9241,10998,8438,8505,6462,9153,10453,6462,9034,6462,6462,4031,5686,5447,5286,4439,4371,4707,10600,12919,13260,16367,8831,19219,16691,10442,7483,19550,9030,10723,9201,16711,16403,20724,8855,17043,8234,8882,2642,6864,9462,9156,21135,10407,5928,6365,3010,16124,12515,15013,10021,10785,6153,13679,7756,4993,9012,9999,9526,17009,9954,7496,17510,12234,12146,12468,10310,12253,15182,15008,13396,6319,15211,15046,15211,14145,14549,3023,6209,15255,12270,13188,4428,13061,11477,20955,14802,14917,16631,19197,22871,17457,11985,11704,21405,28300,12136,13153,14980,16139,11730,14402,16534,11776,4076,3866,3970,4815,10308,4815,3078,9317,19219,11015,16691
10930,11294,8044,11456,8044,8114,10964,10479,12000,8044,10929,12139,10883,13875,11125,10901,8044,8044,11015,8044,8044,10922,8044,13388,10883,12640,10080,10148,8044,10795,12095,8044,10676,8044,8044,8322,14099,13733,13591,12555,12282,12027,14905,16333,16812,17256,13040,17712,18969,15000,13295,18455,13159,15417,12672,17262,17318,19045,10984,15186,3629,3785,3895,5774,8252,7298,22541,8549,7570,7997,8513,7282,10657,9540,11733,9139,7409,8023,9509,7121,7748,10765,10481,11294,8801,11286,15652,13857,11472,11793,12414,11854,13897,16631,12983,6342,13353,13366,13353,13812,14635,9720,16092,16897,13912,14811,14427,14684,16093,22578,16425,16540,14773,23503,24525,19080,16256,15964,23028,29923,13759,14776,18879,17762,15990,16053,14677,13427,5195,10813,10984,7197,11994,7197,12689,10992,17712,12701,18969
8541,8905,5674,9089,5674,5674,7704,7999,9611,5674,8540,9743,8494,11509,8736,8506,5674,5674,8620,5674,5674,8533,5674,10974,8494,10301,7691,6977,5674,8382,9722,5674,8283,5674,5674,5190,10741,10375,10233,9085,8800,8546,9703,11131,11610,12635,7838,14546,13767,9798,7936,15289,7957,10215,7470,12921,12672,18002,5791,18588,1960,1740,1863,1440,10750,11046,20643,12297,5177,5234,5857,9631,14400,7310,7655,4428,4173,5777,5778,1929,2529,8431,7805,9239,3599,11687,17169,11742,14139,14460,12814,14296,17192,14516,15412,6079,18219,17052,18219,16215,17042,6815,13710,14508,11546,12580,12046,12258,16273,20464,14310,14426,18142,23903,22379,16965,16517,16144,20913,27808,11644,12662,19279,15648,16170,13574,19032,10948,2119,7588,7503,2007,8788,2007,9694,8866,14546,9395,13767
9835,10199,6940,10336,6940,6940,9773,9293,10905,6940,9834,11037,9788,12755,10029,9800,6940,6940,9914,6940,6940,9826,6940,12268,9788,11521,8985,9048,6940,9676,11016,6940,9576,6940,6940,7230,13007,12640,12499,11462,11189,10935,12494,13923,14402,14567,10630,15022,16504,12590,10884,15766,10749,13007,10261,14573,14628,17042,8554,15486,1135,1134,1252,3969,7649,7945,21804,9195,6470,6815,7421,6852,11298,6851,9088,6569,4753,5347,6856,4692,5321,8284,7837,8780,6257,12056,17523,12904,13192,13514,13184,13575,15720,15677,14704,4340,15224,15189,15224,15532,16356,8642,15179,15802,12792,13874,13514,13552,16862,21625,15471,15587,15040,24272,23540,18126,17026,16734,22075,28969,12805,13823,19648,16809,16760,14867,16548,12241,2497,9720,9892,4768,10887,4768,11611,9916,15022,11595,16504
9835,10199,6940,10336,6940,6940,9773,9293,10905,6940,9834,11037,9788,12755,10029,9800,6940,6940,9914,6940,6940,9826,6940,12268,9788,11521,8985,9048,6940,9676,11016,6940,9576,6940,6940,7230,13007,12640,12499,11462,11189,10935,12494,13923,14402,14567,10630,15022,16504,12590,10884,15766,10749,13007,10261,14573,14628,17042,8554,15486,1135,1134,1252,3969,7649,7945,21804,9195,6470,6815,7421,6852,11298,6851,9088,6569,4753,5347,6856,4692,5321,8284,7837,8780,6257,12056,17523,12904,13192,13514,13184,13575,15720,15677,14704,4340,15224,15189,15224,15532,16356,8642,15179,15802,12792,13874,13514,13552,16862,21625,15471,15587,15040,24272,23540,18126,17026,16734,22075,28969,12805,13823,19648,16809,16760,14867,16548,12241,2497,9720,9892,4768,10887,4768,11611,9916,15022,11595,16504
13031,12855,16819,10687,16819,17429,10553,13939,14186,16819,13649,12273,13403,11963,13399,12549,16819,16819,12584,16819,16819,13211,16819,12771,13403,10875,13404,10272,16819,10923,15230,16819,11111,16819,16819,12085,11933,11926,12051,10534,10348,10370,4214,2192,2006,6257,5902,9450,4921,4595,7900,8074,5861,4526,6223,6684,6295,12599,7856,31434,15171,14920,14709,13293,22834,23892,29140,25143,12849,13018,12125,22808,27246,13936,11995,10130,12519,12651,11101,11277,10930,15577,13701,14200,10370,20768,25706,20306,24688,25009,23456,24913,27810,23052,26029,15018,26860,27669,26860,26924,27751,11831,18971,16972,12499,17440,17106,17141,24999,28961,22147,22040,30988,32719,30876,25500,25487,25115,29411,35430,19326,19681,28503,23442,25141,16391,27577,14719,13937,11094,10765,14073,11233,14073,13521,14090,9450,11099,4921
