23352,21482,24943,1864,23788,16785,24221,22486,17612,20093,26951,17819,16350,14425,19371,6645,19478,22229,19963,20712,19651,15318,17636,10034,21915,22989,11012,12319,19660,19639,13141,4976,22887,3294,23687,25314,25077,10721,19709,19207,11556,10531,24654,15902,18010,14456,2074,19578,15924,17762,15645,27689,19931,19047,11440,17403,923,22505,15329,12050,26109,21643,21543,11138,1545,13785,17484,20951,18303,18631,11576,21906,15254,23128,1548,19339,21417,12751,22785,19811,10457,23102,18683,21508,17593,11076,20193,14052,6087,25418,15207,16888,15891,11973,16648,16678,19733,16245,21496,19544,19088,16425,22306,20680,20483,24410,2336,16625,24942,22610,15424,1627,20624,2597,18624,19933,18498,18711,16571,20197,16792,20273,16397,19179,20360,21603,22449,16971,16006,17356,16144,12251,19486,17752,10317,19284,26562
3669,1800,6331,19750,8898,5329,11856,6923,18572,2047,8168,5041,5269,6432,2738,14721,24467,13965,2944,6040,3866,17389,3353,21002,5957,9323,19978,8324,7916,4984,9633,16046,11746,17775,9604,6128,8899,10295,1495,6513,18276,16782,5439,10469,9139,6167,18914,18747,5198,11881,8199,9943,22764,3647,17694,9761,20997,6724,16080,8894,9085,5821,8641,17377,19094,17812,18094,11899,12557,15321,9025,1497,10845,4780,20160,2396,15408,8177,12617,4175,21017,3419,23583,7591,6458,18178,15874,6762,16024,6193,6982,6749,5694,8749,4632,18888,15045,5432,7969,5778,6993,7804,11537,4599,7677,9967,18908,4689,10527,10363,13981,20599,3305,20374,3056,12574,15187,6939,4583,26795,5223,4212,4225,21757,7391,5657,9476,19549,5421,7870,13638,20812,22316,18742,21128,12472,10164
11238,9369,12856,11534,13628,6654,14289,12326,17466,8005,14919,6077,4332,2407,8114,6480,23362,13916,8706,10468,9269,16007,5540,16835,11711,12858,17726,294,9545,9513,4789,7805,13968,9534,14150,13228,13949,2054,7621,9444,15946,14345,12568,6768,8078,2826,10698,17796,3811,10477,4222,16590,21669,7766,15364,7288,12787,12373,14773,3601,15075,11511,11388,15062,10884,16416,16999,12967,11602,14592,973,9810,6740,11033,11950,7840,15552,3414,14849,9585,17191,11007,22488,11736,7455,15753,15445,2561,7795,13323,3202,4882,3830,521,5514,17503,14615,6100,11341,9322,8933,4633,13774,10411,10328,14255,10680,4780,15599,12653,12676,12389,8529,12164,6913,12161,14232,8556,4460,25700,6648,9914,4286,20662,10205,11399,12294,18453,5831,5523,12478,18361,21221,17647,17080,11754,16604
11227,10019,11277,17193,8505,12157,19723,15379,24308,9152,11669,10787,5274,6172,11117,12137,30204,20758,11709,13972,12321,22838,8285,22449,14773,17787,23357,7713,15204,12684,4845,12820,8033,14787,8593,12297,9795,8115,10227,14044,22788,21187,11345,1565,14920,9231,16357,24638,6163,17319,3417,12865,28500,10947,22196,450,18042,15434,21605,11017,10910,14572,16467,21894,16529,23247,23830,6016,18434,21424,7983,11106,2561,10121,17595,10833,22383,10831,7850,12647,22805,11025,29320,15759,13334,22585,22277,9625,12171,11633,4751,3869,5782,7338,10264,24334,21447,11607,16137,13494,14473,3178,7371,13472,15393,18438,15557,9445,10042,18145,19507,18034,7676,17809,9911,18992,21064,13946,5957,32441,12073,12976,6325,27493,15242,14461,17373,25285,11053,2332,19310,24576,28052,24479,22693,18585,11721
20202,18332,22707,9079,24030,12049,14747,16171,7721,18053,24701,13135,16155,16197,14687,12623,12388,12602,15278,14536,14391,5740,15024,4703,16669,16003,3696,14372,11884,14219,17893,13732,26410,14021,24573,22660,24354,15429,15594,12955,1311,516,21972,21021,9263,13553,9435,9575,15830,8262,18647,26533,11142,14211,742,20998,11171,16719,5411,12530,24802,16199,14062,440,9479,4724,7567,25662,8465,8723,14472,17679,20348,20564,9523,14614,11800,11864,27282,14564,4731,19938,11899,14836,11277,1918,10576,12800,13898,22712,17571,17659,16332,15143,12960,7597,10116,11519,14859,13390,12447,18932,26201,15433,13646,16904,12998,13818,25967,13143,5730,9962,19010,8856,13899,10095,8881,12206,15517,13279,12048,15027,15108,10135,13688,16356,14359,7927,12586,19101,6528,4522,10694,7835,4829,9447,26544
5829,3960,7480,17142,8241,6490,14055,9681,18619,3061,9543,5115,1986,3564,5420,12113,24514,15068,6012,8275,6624,17164,2609,19735,9069,12089,18674,5716,9537,7016,6375,13438,10611,15167,8785,7850,8566,7687,4530,8482,17099,15497,7192,7567,9230,3559,16306,18949,1933,11629,4919,11208,22827,5271,16522,6803,18401,9730,15931,6297,9663,8868,10791,16220,16498,17574,18157,10768,12760,15750,6429,4988,7575,5637,17564,5158,16710,5581,11487,6943,19749,5594,23646,10055,7658,16911,16603,4166,13427,7942,3732,3464,2424,6153,4558,18660,15773,5931,10433,7818,8907,4774,10407,7768,9717,12734,16312,3766,10187,12469,13834,18003,3134,17778,4235,13318,15390,8270,1282,26858,6397,7272,1516,21820,9566,8757,11697,19611,5229,4907,13636,19519,22379,18805,19861,12911,11222
4560,4339,969,24130,4236,10526,17352,12102,23769,5835,2653,10238,8592,10348,7935,19122,29664,19162,8000,11237,9063,22591,8636,26204,10887,14520,25175,12724,13113,10182,12903,20447,7593,22176,4946,1720,4237,14696,6692,11710,23473,21979,76,12427,14336,10825,23294,23944,8995,17078,10289,4429,27966,8849,22896,10939,25377,11677,21282,13541,4297,10774,13843,22579,23475,23015,23296,8026,17759,20523,13440,5719,13028,1895,24541,7598,20610,12824,8375,9377,26219,4385,28786,12793,11660,23380,21076,11409,20439,679,10128,8561,9038,13165,9759,24090,20247,10634,13171,10980,12195,9483,7295,9530,12879,15105,23324,9986,5862,15565,19183,24980,4260,24754,8258,17776,20389,12141,8508,31997,10425,9143,8759,26959,12593,10611,14678,24751,10548,9548,18840,26014,27518,23945,26330,17674,4650
10140,8270,11790,13205,12562,4883,12373,10469,15565,6650,13854,4560,4500,3628,6701,8836,21461,12015,7293,8810,7634,14109,3867,16679,9937,11087,15621,2422,7686,7621,6760,10161,14914,11890,13084,12161,12883,4410,6062,7305,14046,12444,11502,8565,6177,975,12369,15896,3770,8576,6018,15527,19771,6355,13467,9069,14486,10526,12875,2484,14012,9664,9554,13165,12583,14518,15101,14042,9705,12695,2947,8551,8520,9975,13649,6733,13654,1767,15820,7832,16694,9932,20591,9519,5621,13855,13547,224,10149,12260,4946,6027,4242,2875,3160,15605,12717,4267,9507,7556,7099,6405,14739,8701,8494,12421,13034,3052,14536,10755,10778,14088,7471,13863,5811,10263,12335,6723,4055,23803,4814,8295,3646,18764,8371,9624,10460,16556,3477,7304,10580,16463,19323,15750,16805,9856,15541
10140,8270,11790,13205,12562,4883,12373,10469,15565,6650,13854,4560,4500,3628,6701,8836,21461,12015,7293,8810,7634,14109,3867,16679,9937,11087,15621,2422,7686,7621,6760,10161,14914,11890,13084,12161,12883,4410,6062,7305,14046,12444,11502,8565,6177,975,12369,15896,3770,8576,6018,15527,19771,6355,13467,9069,14486,10526,12875,2484,14012,9664,9554,13165,12583,14518,15101,14042,9705,12695,2947,8551,8520,9975,13649,6733,13654,1767,15820,7832,16694,9932,20591,9519,5621,13855,13547,224,10149,12260,4946,6027,4242,2875,3160,15605,12717,4267,9507,7556,7099,6405,14739,8701,8494,12421,13034,3052,14536,10755,10778,14088,7471,13863,5811,10263,12335,6723,4055,23803,4814,8295,3646,18764,8371,9624,10460,16556,3477,7304,10580,16463,19323,15750,16805,9856,15541
5611,3751,8132,17905,10068,3954,11199,6575,17197,3272,10125,3463,4149,5312,2118,12876,23092,13131,2710,5307,3517,16016,1605,19541,5939,8975,18503,6478,7001,4160,8513,14201,12818,15930,10774,8085,10068,8450,815,5688,16800,15307,7397,9770,7764,4282,17069,17483,4078,10506,7079,11966,21390,2567,16233,8958,19162,6616,14706,7017,10234,5790,7940,15916,17260,16439,16720,13027,11295,14285,7190,3319,9704,5997,18326,1764,14662,6300,13689,3829,19556,5347,22210,7245,5110,16717,15125,4886,14189,8145,5841,5619,4553,6915,2754,17515,14295,4058,7623,4967,6182,6929,12609,4639,6866,9621,17073,2955,11677,9618,12607,18765,4442,18539,1688,11840,13925,5723,3442,25422,3849,4158,3077,20383,6715,5627,8846,18175,3543,7062,12264,19351,20942,17369,19667,11446,11976
