146.17526987766954,
182.87140941369807,
305.0849218231041,
191.80689694139184,
220.78679653414406,
308.06434083684223,
205.64180601461462,
152.51120177438332,
282.83584335390424,
148.65802879027262,
201.60586253758547,
114.69005852212965,
175.30430684954663,
194.75633127430947,
134.1201309416656,
135.77228835706603,
173.9753129722994,
145.53667513559532,
98.58643778068925,
114.26889757226571,
