17415.066666666666,
17925.333333333332,
18453.333333333332,
18544.2,
17934.333333333332,
18587.266666666666,
18664.866666666665,
18635.333333333332,
18183.6,
18819.733333333334,
18804.733333333334,
18423.333333333332,
18668.8,
18483.2,
17570.066666666666,
17087.6,
18291.133333333335,
17488.066666666666,
16757.0,
15102.666666666666,
