38910,38354,39533,39428,39777,38431,38717,39295,39042,39723,
39625,36650,39841,38174,37796,37849,37001,39450,38652,37166,
36241,36282,36481,35581,35653,37926,36217,36054,37627,35230,
35900,35620,36980,37889,36423,35620,35297,36710,35624,36413,36495,34745,36692,
39067,39391,40024,39833,41652,38963,39441,42581,40266,39051,
35988,38851,36521,34687,36521,38798,36909,34714,36600,34890,36142,36630,35523,
36462,34933,35382,35263,35166,34485,36274,35349,34952,35345,34936,34972,35382,35933,35876,34972,34875,35371,35575,35464,34376,35462,35500,33872,36016,35817,36044,36753,36016,35028,35263,35263,35254,35115,35965,34194,36357,34069,34655,34672,34097,35591,36364,34556,35021,34421,35709,35406,34915,35192,35911,35263,35263,35309,35309,35115,34815,34939,34972,36073,36340,35030,34478,35309,35179,34857,34416,34857,36073,35442,35837,34978,36090,36091,35115,36293,34127,36194,36088,35945,35652,34785,34044,35097,36119,34972,35530,35434,35166,34972,35321,36179,34482,35058,37252,35240,33830,34672,36119,34972,35219,36492,35115,34972,35464,34758,36226,35654,35309,34146,35406,36580,34776,35462,35026,34479,34875,33882,34024,34875,34335,34933,36146,35263,34793,34622,33734,35263,36926,35263,36233,35654,35817,35192,35980,35309,35392,35714,36214,36054,35969,35367,35406,34933,35724,35287,33332,36565,35700,34773,36119,34972,34818,36214,35115,35600,35790,35824,35018,34915,35771,35227,36492,35060,34677,36297,34972,33314,36831,34571,35014,35030,35109,35613,35470,35990,34039,36478,36073,35755,36355,36395,35309,
34021,33595,34389,33254,32154,32954,33351,34467,33051,33928,33942,33700,33494,33494,33197,33589,34213,33642,33688,32508,33642,33691,34115,33545,34409,33245,32916,33525,33494,
38774,38872,37937,38586,39426,38400,39981,39784,37810,38265,
34915,33878,33312,33401,33545,33785,33975,33340,32625,33397,33139,33017,33925,33928,33254,33642,33603,34639,33688,33351,33873,33280,33254,33552,33182,33351,33629,34266,33282,34754,34122,33975,33351,34588,32217,33730,33351,33642,33206,34233,33942,34312,33437,33331,33906,33494,33737,33397,33109,34263,33642,33688,34209,33397,33631,33545,33831,33351,33785,33706,34538,33527,33552,33873,33254,33919,33642,33785,33785,33867,34015,32267,33580,33936,33928,33821,33351,33351,33409,33351,33351,33642,33351,33423,34158,33964,33567,34637,33642,32373,33573,34229,34780,34632,33981,33785,33351,34219,33494,32690,31248,33675,33163,33468,34412,33899,33254,33642,33631,33964,33763,33616,33628,33455,33688,33616,33562,32573,33633,34193,33906,33409,33616,33677,33397,33286,34255,33351,33254,33879,33172,33585,32282,32382,33830,33485,33397,34240,32509,33849,33545,34063,34043,34427,33351,33494,33351,33342,33975,
31983,32041,30313,31549,31406,31898,31769,31653,32065,32108,31510,31549,32129,32041,31452,31875,31724,31678,31607,31510,31452,31335,30578,32453,32041,30698,31510,31743,31780,
28826,28633,28322,27574,28551,28105,28924,29421,28059,28529,
34132,34862,34350,35592,33938,34575,34298,34373,34141,34381,35215,34516,34815,34503,34414,34551,34167,
28408,28288,28068,29444,28350,28590,28408,29175,29032,28639,
20979,20355,20155,20152,20413,20025,20181,20355,20025,20913,
18207,18245,18071,17974,18425,18299,18763,18227,18192,17915,
27289,26892,27565,26862,26209,26804,26855,27001,26840,26952,
19334,19519,19431,19489,19431,19228,19315,19392,19228,19043,
16325,16326,16146,16481,16074,16113,16534,16468,16919,16351,
11513,11455,11674,11649,11597,11358,12009,12146,11325,12133,
