38097,37666,38231,37926,38260,38029,37973,38431,38209,38194,
38489,37083,38159,37647,37250,37553,37322,37858,37904,37287,
36910,36898,36869,36862,36755,37330,36850,36966,37151,36687,
36604,36672,36916,37378,36815,36501,35877,36748,36010,37015,36568,36020,36787,
38239,37920,38321,38453,38693,37629,37733,39154,38575,37858,
36561,37546,37030,36311,37247,37226,37169,36058,36965,36078,37056,36647,36551,
36407,36940,36000,36369,36416,36122,37108,36507,36566,36467,36455,36425,36380,36827,36519,36868,36578,36619,36830,36499,35924,36420,36640,35945,36981,36845,36019,36739,36643,36380,36585,36381,36230,36483,36397,35994,36468,36417,35878,36769,36085,36375,36879,36119,36429,36242,36622,36815,36498,36293,36600,36757,36218,36533,36619,36801,36191,36409,36555,36745,36442,36573,36378,36549,36177,36416,35893,36413,36613,36326,36402,36297,36385,36691,36522,36928,35995,36855,36694,36512,36687,35835,35720,36043,36696,36352,36380,36511,36208,36574,36383,36690,36267,36422,36930,36575,35922,36232,36648,36553,36751,36764,36722,36832,36283,36603,36653,36515,36980,35870,36192,37039,36268,36456,36306,36336,36376,35976,35843,36448,36285,36421,36390,36389,36453,36073,36050,36606,36537,36670,36789,36582,36423,36216,36630,36884,36668,36372,36943,36699,36754,36700,36621,36604,36797,36327,35438,36790,36942,36088,36703,36445,36530,37093,36279,36634,36629,36246,36152,36439,36430,36446,36730,36452,36089,36599,36309,35625,36720,35770,36224,36591,36100,36187,36328,36496,35816,36771,36646,36859,36786,36461,36721,
35712,35248,35638,35833,35205,35602,35410,35782,35683,35505,35660,35667,35555,35884,35409,35828,35232,35741,35601,35226,35540,35583,35847,35607,35604,35563,35362,35392,35717,
37972,38260,37238,37452,38125,37636,38288,38372,37637,37500,
35809,35951,35890,35584,36007,35708,35847,35571,35451,36062,35427,35227,36010,35631,36053,36114,35800,35826,36037,35602,35694,35776,35643,35358,35626,35540,35487,35858,35847,36059,36254,35763,35586,35987,35272,35776,35789,35640,35254,35729,35989,36040,35776,35537,35581,35753,35747,35897,35688,35594,35819,35810,35635,35628,35786,36063,35792,35598,35894,35846,35974,35735,35647,35773,35819,35831,35718,35864,35957,35791,35739,35462,35695,36149,35811,35864,35556,35607,35866,35934,35884,35794,35671,35784,36107,35878,35877,36248,35721,35281,35632,35847,35624,35926,35740,36085,35762,36375,36077,35111,34887,35545,35709,35651,35812,36057,35618,35689,35939,35940,35688,35681,36050,36068,35917,35601,35844,34867,35487,35486,35779,35732,35817,36173,35857,35676,35823,35887,35875,35700,35625,35686,34725,34993,35914,35473,35735,35581,35189,35737,35906,35907,35704,35833,35877,35572,35991,35649,35636,
35188,35081,34410,34728,34787,35106,35143,35111,34986,35239,34686,35036,35014,34839,34770,34761,35038,34561,35282,34958,34929,34709,34329,35185,34653,34517,34731,35203,34604,
33367,33441,33112,32592,33314,33321,33349,33528,33310,33130,
35995,36437,36087,36396,36035,36081,35737,36366,36020,36187,36256,36256,36428,36078,36300,35937,35838,
33583,33585,33500,33707,33604,33642,33501,33553,33627,33467,
29446,29217,29511,29275,29211,29460,29091,29202,29153,29377,
27744,27667,27776,27719,27471,27631,27671,27759,27796,27774,
32982,32662,32589,32748,32341,32825,32786,33036,32557,32756,
28760,28693,28874,28822,28572,28687,28748,28738,28682,28751,
26730,26831,26783,26698,26736,26734,26799,26797,26953,26867,
22874,22977,22885,22928,22798,22912,23092,22977,22824,23050,
