378.6519069893438,
391.9223684062226,
256.27713793581245,
375.02351672293577,
370.78658988439054,
395.24308373214484,
437.6080220384231,
404.31084222768146,
342.17146912873125,
389.2659147433184,
177.5510657596314,
280.06694777873247,
372.6798702831771,
248.99818320239856,
342.8988744444025,
180.03364764875005,
316.35578223320175,
220.49161521688845,
217.77100248611964,
130.96389906055353,
