16227.933333333332,
17281.2,
17587.266666666666,
17705.0,
17384.733333333334,
17759.533333333333,
17551.866666666665,
17577.2,
17279.533333333333,
17872.733333333334,
17859.733333333334,
17526.733333333334,
17877.666666666668,
17573.933333333334,
17200.35714285714,
16357.333333333334,
17463.0,
16856.0,
15946.066666666668,
14491.0,
