716.8399369720519,
560.656528417482,
737.1510280093477,
409.8072717754042,
750.2455280646146,
470.2915306589348,
639.3722218670733,
602.3318022485613,
654.5041598325371,
518.8297913390792,
737.412606605659,
333.6727367318092,
368.6749762259952,
317.72460372077546,
477.31534603492435,
267.71217664463734,
604.8728319714342,
443.16475491627267,
606.6039501857472,
425.275037055853,
